seed	verdict	secs	net	from	to
0	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y93/CLKINV_OUT.
1	routed	4	-	-	-
2	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y101/CLKINV_OUT.
3	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X32Y96/CLKINV_OUT.
4	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y95/CLKINV_OUT.
5	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y94/CLKINV_OUT.
6	routed	3	-	-	-
7	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y93/CLKINV_OUT.
8	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X32Y119/CLKINV_OUT.
9	routed	3	-	-	-
10	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X32Y117/CLKINV_OUT.
11	routed	3	-	-	-
12	routed	3	-	-	-
13	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y112/CLKINV_OUT.
14	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X28Y114/CLKINV_OUT.
15	routed	3	-	-	-
16	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y91/CLKINV_OUT.
17	routed	3	-	-	-
18	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y93/CLKINV_OUT.
19	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y92/CLKINV_OUT.
20	failed	5	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y95/CLKINV_OUT.
21	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X32Y117/CLKINV_OUT.
22	routed	3	-	-	-
23	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X33Y113/CLKINV_OUT.
24	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y93/CLKINV_OUT.
25	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X30Y114/CLKINV_OUT.
26	routed	3	-	-	-
27	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y111/CLKINV_OUT.
28	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y113/CLKINV_OUT.
29	routed	4	-	-	-
30	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X28Y117/CLKINV_OUT.
31	routed	3	-	-	-
32	routed	4	-	-	-
33	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y109/CLKINV_OUT.
34	routed	4	-	-	-
35	routed	4	-	-	-
36	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X35Y113/CLKINV_OUT.
37	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y111/CLKINV_OUT.
38	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y91/CLKINV_OUT.
39	routed	4	-	-	-
40	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X37Y112/CLKINV_OUT.
41	routed	4	-	-	-
42	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y91/CLKINV_OUT.
43	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y112/CLKINV_OUT.
44	routed	4	-	-	-
45	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y92/CLKINV_OUT.
46	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X26Y113/CLKINV_OUT.
47	routed	4	-	-	-
48	routed	4	-	-	-
49	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y113/CLKINV_OUT.
50	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y111/CLKINV_OUT.
51	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X34Y94/CLKINV_OUT.
52	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X30Y112/CLKINV_OUT.
53	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y110/CLKINV_OUT.
54	routed	4	-	-	-
55	routed	3	-	-	-
56	routed	4	-	-	-
57	failed	3	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X36Y104/CLKINV_OUT.
58	routed	3	-	-	-
59	failed	4	data_clk	SITEWIRE/BUFGCTRL_X0Y17/O	SITEWIRE/SLICE_X32Y113/CLKINV_OUT.
